Movie Title,Director,Count,Picked By
Paris Is Burning,Jennie Livingston,7,"JUNE SQUIBB, ANOHNI, PAYAL KAPADIA, NATHALIE EMMANUEL, ZOË KRAVITZ AND CHANNING TATUM, TRACE LYSETTE, NEAL BRENNAN"
"Godzilla: The Showa-Era Films, 1954–1975",Collector’s Set,7,"JUNE SQUIBB, BOWEN YANG, TUNDE ADEBIMPE, GINA GERSHON, JOEL KIM BOOSTER, DANIELS, PARK CHAN-WOOK"
Close-up,Abbas Kiarostami,7,"JAY DUPLASS, MICHAEL CERA, ROSINE MBAKAM, BEN SINCLAIR, BILL AND TURNER ROSS, THE WOLFPACK, BERTRAND BONELLO"
Sweet Smell of Success,Alexander Mackendrick,7,"JAMIE LEE CURTIS, NATASHA LYONNE, DEVO: GERALD CASALE AND MARK MOTHERSBAUGH, BEN WHEATLEY, TIM ROBBINS, JENNI OLSON, SLAVOJ ŽIŽEK"
Six Moral Tales,Collector’s Set,7,"NATASHA LYONNE, CARRIE COON, NURI BILGE CEYLAN, MATÍAS PIÑEIRO, SEAN BAKER, JOACHIM TRIER, CHRISTIAN PETZOLD"
Loves of a Blonde,Miloš Forman,7,"ROSAMUND PIKE, PAYAL KAPADIA, MARIANNE JEAN-BAPTISTE & MIKE LEIGH, BILL HADER, REBECCA MILLER, JERZY SKOLIMOWSKI, LEE UNKRICH"
Ikiru,Akira Kurosawa,7,"MARK RYLANCE, BILL HADER, KOJI YAKUSHO, KOJI YAKUSHO, VICKY KRIEPS, ALICIA MALONE, FIVE COMICS"
House,Nobuhiko Obayashi,7,"MAURA TIERNEY, BILL HADER, BILL POPE, JULIO TORRES, ANDRÉ BONZEL, JOACHIM TRIER, ETHAN HAWKE AND JONATHAN MARC SHERMAN"
Amores perros,Alejandro G. Iñárritu,7,"JULIETTE BINOCHE AND RALPH FIENNES, JR, GAEL GARCIA BERNAL, JULIO TORRES, MANUEL GARCIA-RULFO, RODRIGO PRIETO, RAVEN JACKSON"
Fat Girl,Catherine Breillat,6,"ATOM EGOYAN, LUCA GUADAGNINO, BARRY JENKINS, JACQUELINE NOVAK AND JOHN EARLY, RAVEN JACKSON, RUBEN ÖSTLUND"
Memories of Underdevelopment,Tomás Gutiérrez Alea,6,"WAGNER MOURA, DANNY BOYLE, MATT DILLON, WALTER SALLES, GAEL GARCIA BERNAL, JENNI OLSON"
Malcolm X,Spike Lee,6,"RYAN COOGLER, BEN AFFLECK, JOHN DAVID WASHINGTON AND MALCOLM WASHINGTON, JANE SCHOENBRUN, DANIELS, FLOYD NORMAN"
Blood Simple,Joel Coen,6,"DANNY BOYLE, BARRY SONNENFELD, JOSH AND BENNY SAFDIE, BARRY JENKINS, BRIT MARLING AND ZAL BATMANGLIJ, CRISTIAN MUNGIU"
Mulholland Dr.,David Lynch,6,"ROSE BYRNE, BILLY CRUDUP, ALAIN GUIRAUDIE, JENNIFER KENT, MATTEO GARRONE, RENATE REINSVE"
Stranger Than Paradise,Jim Jarmusch,6,"WILL ARNETT, WALTER SALLES, NURI BILGE CEYLAN, GREGG ARAKI, ANDRÉ BONZEL, SLAVOJ ŽIŽEK"
Picnic at Hanging Rock,Peter Weir,6,"FLORENCE WELCH, ETHEL CAIN, MAYA AND ETHAN HAWKE, BONG JOON HO, JACQUELINE NOVAK AND JOHN EARLY, SLAVOJ ŽIŽEK"
Notorious,Alfred Hitchcock,6,"GUILLERMO DEL TORO, KATHRYN BIGELOW, RONAN FARROW, JACQUES AUDIARD, TYLER MITCHELL, THEODORE WITCHER"
The Age of Innocence,Martin Scorsese,6,"GUILLERMO DEL TORO, JUNE SQUIBB, JUDD APATOW, ISABEL SANDOVAL, JOANNA HOGG, BERTRAND BONELLO"
Bruce Lee: His Greatest Hits,Collector’s Set,6,"LUCY LIU, RZA, ZEINABU IRENE DAVIS, NICHOLAS HOULT, RAMELL ROSS, JOHN DARNIELLE"
Videodrome,David Cronenberg,6,"VINCE STAPLES, BARBIE FERREIRA, NORMAN REEDUS, RODARTE, THE WOLFPACK, SAUL WILLIAMS AND ANISIA UZEYMAN"
WALL·E,Andrew Stanton,6,"VINCE STAPLES, JAMIE LEE CURTIS, ALAIN GUIRAUDIE, JR, JULIO TORRES, CHARLES MELTON"
Mikey and Nicky,Elaine May,6,"YORGOS LANTHIMOS, JOSH BROLIN, RZA, PAUL SCHEER, CHELSEA PERETTI, CHARLES MELTON"
Come and See,Elem Klimov,6,"NIA DACOSTA, GRIFFIN DUNNE, CALLUM TURNER, ROGER & JAMES DEAKINS, SALLY POTTER, JERZY SKOLIMOWSKI"
Women on the Verge of a Nervous Breakdown,Pedro Almodóvar,6,"RACHEL SENNOTT, ST. VINCENT, HARI NEF, PAUL B. PRECIADO, TRACE LYSETTE, RODRIGO PRIETO"
To Die For,Gus Van Sant,6,"RACHEL SENNOTT, ELLE FANNING, MARGARET QUALLEY, HARRIS DICKINSON, CHERYL DUNYE, ST. VINCENT"
