Movie Title,Director,Count,Picked By
Black Orpheus,Marcel Camus,10,"BONG JOON HO, CATHERINE BREILLAT, ETHAN HAWKE AND JONATHAN MARC SHERMAN, EUZHAN PALCY, GINA PRINCE-BYTHEWOOD, JOHN DAVID WASHINGTON AND MALCOLM WASHINGTON, QUESTLOVE, REGINALD HUDLIN, WYCLEF JEAN, ZEINABU IRENE DAVIS"
Down by Law,Jim Jarmusch,10,"FREDERICK WISEMAN, JAMES ACHESON, JULIETTE BINOCHE AND RALPH FIENNES, LILY GLADSTONE & ERICA TREMBLAY, MICHAEL SHANNON, MINNIE DRIVER, RZA, TOM ROTHMAN, WIM WENDERS, WINONA RYDER"
Mirror,Andrei Tarkovsky,10,"HLYNUR PÁLMASON, JACQUES AUDIARD, JOHN DAVID WASHINGTON AND MALCOLM WASHINGTON, JULIETTE BINOCHE AND RALPH FIENNES, KATYA ZAMOLODCHIKOVA, RAMELL ROSS, RENATE REINSVE, ROGER & JAMES DEAKINS, SAUL WILLIAMS AND ANISIA UZEYMAN, WILLEM DAFOE"
Tokyo Story,Yasujiro Ozu,10,"AMY HECKERLING, BONG JOON HO, CARL FRANKLIN, CHARLIE DAY, DAN LEVY, JENNIFER KENT, SARITA CHOUDHURY, THE WOLFPACK, TIM BLAKE NELSON, YO LA TENGO"
Klute,Alan J. Pakula,9,"ANNA KENDRICK, BRIT MARLING AND ZAL BATMANGLIJ, JASON BATEMAN, PAUL SCHEER, RONAN FARROW, ROSANNA ARQUETTE, STEVE COOGAN, SUSANNA HOFFS, TED DANSON & MARY STEENBURGEN"
Love & Basketball,Gina Prince-Bythewood,9,"DAN LEVY, GARRETT BRADLEY, GINA PRINCE-BYTHEWOOD, LENA DUNHAM, NATHALIE EMMANUEL, NIA DACOSTA, RIAN JOHNSON, RYAN COOGLER, TYLER MITCHELL"
Paris Is Burning,Jennie Livingston,9,"ANOHNI, ELEGANCE BRATTON, JEREMY POPE, JUNE SQUIBB, NATHALIE EMMANUEL, NEAL BRENNAN, PAYAL KAPADIA, TRACE LYSETTE, ZOË KRAVITZ AND CHANNING TATUM"
In the Mood for Love,Wong Kar Wai,9,"ASIF KAPADIA, DIANE KRUGER, GINA PRINCE-BYTHEWOOD, JOEL KIM BOOSTER, JUDD APATOW, LUCY LIU, NICHOLAS HOULT, RODARTE, SAUL WILLIAMS AND ANISIA UZEYMAN"
Six Moral Tales,Eric Rohmer,9,"CARRIE COON, CHRISTIAN PETZOLD, JOACHIM TRIER, MARY BRONSTEIN, MATÍAS PIÑEIRO, NATASHA LYONNE, NURI BILGE CEYLAN, PAULINE CHALAMET, SEAN BAKER"
City Lights,Charles Chaplin,9,"AMY HECKERLING, AUBREY PLAZA AND JEFF BAENA, CAROL KANE, JIA ZHANGKE, KOJI YAKUSHO, NATASHA LYONNE, RICHARD E. GRANT, SLAVOJ ŽIŽEK, STELLAN SKARSGÅRD"
Repo Man,Alex Cox,9,"BONG JOON HO, DANIELS, JOHN DWYER, JOSH BROLIN, LAURA ALBERT & JEFF FEUERZEIG, NICK LOWE, NICOLAS WINDING REFN, SEAN BAKER, THE WOLFPACK"
Blue Velvet,David Lynch,9,"AMY IRVING, BETSEY JOHNSON, JARVIS COCKER, KYLE MACLACHLAN, NORMAN REEDUS, PAMELA ANDERSON, PAUL GIAMATTI, SIMON PEGG, VICKY KRIEPS"
Sweet Smell of Success,Alexander Mackendrick,9,"ANTON CORBIJN, BEN WHEATLEY, DEVO: GERALD CASALE AND MARK MOTHERSBAUGH, JAMIE LEE CURTIS, JENNI OLSON, NATASHA LYONNE, NATHAN LANE, SLAVOJ ŽIŽEK, TIM ROBBINS"
Pickpocket,Robert Bresson,9,"ALAIN GUIRAUDIE, JIA ZHANGKE, MARCO BELLOCCHIO, NATASHA LYONNE, OWEN KLINE, RENATE REINSVE, WILLEM DAFOE, WILLIAM FRIEDKIN, YORGOS LANTHIMOS & ARIANE LABED"
